nom,symbole,facteur,prix_achat,prix_vente,medicament_id,is_default
Comprimé,Cp,1,,,FEMARA,1
Comprimé,Cp,1,,,ARIMIDEX,1
Comprimé,Cp,1,,,AROMASINE,1
Comprimé,Cp,1,,,ZYTIGA,1
Comprimé,Cp,1,,,CASODEX,1
Comprimé,Cp,1,,,ANANDRON,1
Comprimé,Cp,1,,,ERLEADA,1
Comprimé,Cp,1,,,ANDROCUR,1
Seringue,Ser,1,,,FIRMAGON,1
Ampoule,Amp,1,,,DÉCAPEPTYL,1
Flacon,Fl,1,,,DÉCAPEPTYL LP,1
Seringue,Ser,1,,,GONAPEPTYL LP,1
Flacon,Fl,1,,,SALVACYL LP,1
Flacon,Fl,1,,,ENANTONE LP,1
Seringue,Ser,1,,,ELIGARD,1
Seringue,Ser,1,,,LEPTOPROL,1
Solution nasale,Sol nas,1,,,SYNAREL,1
Implant,Impl,1,,,ZOLADEX,1
Ampoule,Amp,1,,,UROMITEXAN,1
Flacon,Fl,1,,,ETHYOL,1
Flacon,Fl,1,,,CARDIOXANE,1
Flacon,Fl,1,,,SAVENE,1
Flacon,Fl,1,,,MOZOBIL,1
Seringue,Ser,1,,,NEUPOGEN,1
Seringue,Ser,1,,,NIVESTIM,1
Seringue,Ser,1,,,RATIOGRASTIM,1
Seringue,Ser,1,,,TEVAGRASTIM,1
Seringue,Ser,1,,,ZARZIO,1
Seringue,Ser,1,,,ACCOFIL,1
Seringue,Ser,1,,,CEGFILA,1
Seringue,Ser,1,,,FULPHILA,1
Seringue,Ser,1,,,NEULASTA,1
Seringue,Ser,1,,,PELGRAZ,1
Seringue,Ser,1,,,PELMEG,1
Seringue,Ser,1,,,ZIEXTENZO,1
Seringue,Ser,1,,,LONQUEX,1
Flacon,Fl,1,,,GRANOCYTE,1
Comprimé,Cp,1,,,CORGARD,1
Comprimé,Cp,1,,,PROPRANOLOL,1
Gélule,Gél,1,,,PROPRANOLOL LP,1
Comprimé,Cp,1,,,TIMACOR,1
Comprimé,Cp,1,,,MODUCREN,1
Comprimé,Cp,1,,,VISKEN,1
Comprimé,Cp,1,,,KREDEX,1
Comprimé,Cp,1,,,TRANDATE,1
Comprimé,Cp,1,,,SOTALEX,1
Comprimé,Cp,1,,,ARTEX,1
Comprimé,Cp,1,,,TÉNORMINE,1
Comprimé,Cp,1,,,TÉNORETIC,1
Comprimé,Cp,1,,,KERLONE,1
Comprimé,Cp,1,,,DETENSIEL,1
Comprimé,Cp,1,,,CARDENSIEL,1
Comprimé,Cp,1,,,BISOCE,1
Comprimé,Cp,1,,,LODOZ,1
Comprimé,Cp,1,,,LOPRESSOR,1
Comprimé,Cp,1,,,SELOKEN,1
Comprimé,Cp,1,,,SELOZOK LP,1
Comprimé,Cp,1,,,SECTRAL,1
Comprimé,Cp,1,,,SECTRAL LP,1
Solution buvable,Sol buv,1,,,SECTRAL ENFANTS,1
Comprimé,Cp,1,,,CÉLECTOL,1
Comprimé,Cp,1,,,NEBILOX,1
Comprimé,Cp,1,,,TEMERIT,1
Comprimé,Cp,1,,,CONEBILOX,1
Comprimé,Cp,1,,,MAVITAGLOU,1
Comprimé,Cp,1,,,TEMERITDUO,1
Ampoule,Amp,1,,,KARNODYL,1
Flacon,Fl,1,,,BRÉVIBLOC,1
Ampoule,Amp,1,,,RAPIBLOC,1
Ampoule,Amp,1,,,TRANDATE injectable,1
Ampoule,Amp,1,,,RISORDAN injectable,1
Ampoule,Amp,1,,,NITRONAL,1
Flacon,Fl,1,,,NATISPRAY,1
Comprimé,Cp,1,,,RISORDAN,1
Flacon,Fl,1,,,ISOCARD SPRAY,1
Patch,Patch,1,,,DISCOTRINE,1
Patch,Patch,1,,,EPINITRIL,1
Patch,Patch,1,,,NITRIDERM TTS,1
Patch,Patch,1,,,TRINIPATCH,1
Comprimé,Cp,1,,,LONOTEN,1
Ampoule,Amp,1,,,NEPRESSOL,1
Gélule,Gél,1,,,EUPRESSYL,1
Gélule,Gél,1,,,MÉDIATENSYL,1
Comprimé,Cp,1,,,ALPRESS LP,1
Comprimé,Cp,1,,,HYPERIUM,1
Comprimé,Cp,1,,,PHYSIOTENS,1
Comprimé,Cp,1,,,CATAPRESSAN,1
Comprimé,Cp,1,,,ALDOMET,1
Comprimé,Cp,1,,,CORVASAL,1
Comprimé,Cp,1,,,IKOREL,1
Comprimé,Cp,1,,,PROCORALAN,1
Comprimé,Cp,1,,,CARVECORAL,1
Ampoule,Amp,1,,,ADRÉNALINE,1
Auto-injecteur,Auto-inj,1,,,ANAPEN,1
Stylo,Stylo,1,,,EMERADE,1
Stylo,Stylo,1,,,EPIPEN,1
Stylo,Stylo,1,,,JEXT,1
Ampoule,Amp,1,,,NORADRÉNALINE,1
Ampoule,Amp,1,,,ISUPREL,1
Ampoule,Amp,1,,,DOPAMINE,1
Flacon,Fl,1,,,DOBUTAMINE,1
Ampoule,Amp,1,,,COROTROPE,1
Ampoule,Amp,1,,,PERFANE,1
Flacon,Fl,1,,,ZIMINO,1
Comprimé,Cp,1,,,DIGOXINE,1
Comprimé,Cp,1,,,HÉMIGOXINE,1
Comprimé,Cp,1,,,ÉNALAPRIL,1
Comprimé,Cp,1,,,ÉNALAPRIL-HYDROCHLOROTHIAZIDE,1
Comprimé,Cp,1,,,ZANEXTRA,1
Comprimé,Cp,1,,,LERCAPRESS,1
Comprimé,Cp,1,,,ZESTRIL,1
Comprimé,Cp,1,,,ZESTORETIC,1
Gélule,Gél,1,,,ODRIK,1
Comprimé,Cp,1,,,TARKA LP,1
Comprimé,Cp,1,,,ACUITEL,1
Comprimé,Cp,1,,,ACUILIX,1
Comprimé,Cp,1,,,CIBACENE,1
Comprimé,Cp,1,,,CIBADREX,1
Comprimé,Cp,1,,,COVERSYL,1
Comprimé,Cp,1,,,PERINDOPRIL,1
Comprimé,Cp,1,,,PRETERAX,1
Comprimé,Cp,1,,,BIPRETERAX,1
Comprimé,Cp,1,,,COVERAM,1
Comprimé,Cp,1,,,TRIPLIXAM,1
Comprimé,Cp,1,,,COSIMPREL,1
Comprimé,Cp,1,,,FOSINOPRIL,1
Comprimé,Cp,1,,,FOSINOPRIL-HYDROCHLOROTHIAZIDE,1
Comprimé,Cp,1,,,TRIATEC,1
Comprimé,Cp,1,,,COTRIATEC,1
Gélule,Gél,1,,,RAMINOVA,1
Comprimé,Cp,1,,,ZOFENIL,1
Comprimé,Cp,1,,,ZOFENILDUO,1
Comprimé,Cp,1,,,CAPTOPRIL,1
Solution buvable,Sol buv,1,,,NOYADA,1
Comprimé,Cp,1,,,CAPTOPRIL-HYDROCHLOROTHIAZIDE,1
Comprimé,Cp,1,,,COZAAR,1
Comprimé,Cp,1,,,NISIS,1
Comprimé,Cp,1,,,TAREG,1
Comprimé,Cp,1,,,APROVEL,1
Comprimé,Cp,1,,,ATACAND,1
Comprimé,Cp,1,,,KENZEN,1
Comprimé,Cp,1,,,MICARDIS,1
Comprimé,Cp,1,,,PRITOR,1
Comprimé,Cp,1,,,TEVETEN,1
Comprimé,Cp,1,,,ALTEIS,1
Comprimé,Cp,1,,,OLMETEC,1
Comprimé,Cp,1,,,ALTEISDUO,1
Comprimé,Cp,1,,,COOLMETEC,1
Comprimé,Cp,1,,,AXELER,1
Comprimé,Cp,1,,,SEVIKAR,1
Comprimé,Cp,1,,,COAPROVEL,1
Comprimé,Cp,1,,,COKENZEN,1
Comprimé,Cp,1,,,HYTACAND,1
Comprimé,Cp,1,,,COTAREG,1
Comprimé,Cp,1,,,NISISCO,1
Comprimé,Cp,1,,,EXFORGE,1
Comprimé,Cp,1,,,EXFORGE HCT,1
Comprimé,Cp,1,,,HYZAAR,1
Comprimé,Cp,1,,,FORTZAAR,1
Comprimé,Cp,1,,,MICARDISPLUS,1
Comprimé,Cp,1,,,PRITORPLUS,1
Comprimé,Cp,1,,,TWYNSTA,1
Comprimé,Cp,1,,,ENTRESTO,1
Comprimé,Cp,1,,,LASILIX,1
Solution,Sol,1,,,LASILIX BUVABLE,1
Gélule,Gél,1,,,LASILIX RETARD,1
Ampoule,Amp,1,,,LASILIX Injectable,1
Ampoule,Amp,1,,,LASILIX SPÉCIAL,1
Comprimé,Cp,1,,,BURINEX,1
Ampoule,Amp,1,,,BURINEX injectable,1
Gélule,Gél,1,,,EURELIX LP,1
Comprimé,Cp,1,,,ESIDREX,1
Comprimé,Cp,1,,,TENSIONORME,1
Comprimé,Cp,1,,,FLUDEX,1
Comprimé,Cp,1,,,FLUDEX LP,1
Gélule,Gél,1,,,TENSTATEN,1
Comprimé,Cp,1,,,ALDACTONE,1
Comprimé,Cp,1,,,ALDACTAZINE,1
Comprimé,Cp,1,,,INSPRA,1
Flacon,Fl,1,,,SOLUDACTONE,1
Comprimé,Cp,1,,,MODAMIDE,1
Comprimé,Cp,1,,,LOGIRENE,1
Comprimé,Cp,1,,,ISOBAR,1
Gélule,Gél,1,,,PRESTOLE,1
Comprimé,Cp,1,,,TILDIEM,1
Comprimé,Cp,1,,,BI-TILDIEM,1
Gélule,Gél,1,,,MONO-TILDIEM LP,1
Flacon,Fl,1,,,TILDIEM Injectable,1
Comprimé/Gélule,Cp/Gél,1,,,ISOPTINE,1
Comprimé,Cp,1,,,ISOPTINE LP,1
Ampoule,Amp,1,,,ISOPTINE injectable,1
Gélule,Gél,1,,,AMLOR,1
Comprimé,Cp,1,,,CADUET,1
Comprimé,Cp,1,,,FLODIL LP,1
Comprimé,Cp,1,,,LOGIMAX,1
Gélule,Gél,1,,,ICAZ LP,1
Comprimé,Cp,1,,,LOXEN,1
Gélule,Gél,1,,,LOXEN LP,1
Ampoule,Amp,1,,,LOXEN injectable,1
Comprimé,Cp,1,,,NITRENDIPINE,1
Comprimé,Cp,1,,,LERCAN,1
Comprimé,Cp,1,,,ZANIDIP,1
Comprimé,Cp,1,,,IPERTEN,1
Comprimé,Cp,1,,,NIFÉDIPINE LP,1
Gélule,Gél,1,,,NIFÉDIPINE + ATÉNOLOL,1
Flacon,Fl,1,,,CLÉVIPREX,1
Gélule,Gél,1,,,RYTHMODAN,1
Comprimé,Cp,1,,,RYTHMODAN LP,1
Gélule,Gél,1,,,ISORYTHM LP,1
Gélule,Gél,1,,,SÉRÉCOR,1
Ampoule,Amp,1,,,XYLOCARD,1
Comprimé,Cp,1,,,EXACOR,1
Comprimé,Cp,1,,,RYTHMOL,1
Comprimé,Cp,1,,,FLECAÏNE,1
Gélule,Gél,1,,,FLECAÏNE LP,1
Ampoule,Amp,1,,,FLECAÏNE injectable,1
Ampoule,Amp,1,,,GILURYTMAL,1
Comprimé,Cp,1,,,MULTAQ,1
Comprimé,Cp,1,,,CORDARONE,1
Ampoule,Amp,1,,,CORDARONE injectable,1
Ampoule,Amp,1,,,KRENOSIN,1
Ampoule,Amp,1,,,ADENOSCAN,1
Flacon,Fl,1,,,RAPISCAN,1
Ampoule,Amp,1,,,STRIADYNE,1
Ampoule,Amp,1,,,ATROPINE,1
Comprimé,Cp,1,,,GUTRON,1
Comprimé,Cp,1,,,EFFORTIL,1
Comprimé,Cp,1,,,HEPTAMINOL,1
Ampoule,Amp,1,,,ILOMÉDINE,1
Comprimé,Cp,1,,,TANAKAN,1
Solution,Sol,1,,,VITALOGINK,1
Comprimé,Cp,1,,,GINKOGINK,1
Comprimé,Cp,1,,,PENTOXIFYLLINE LP,1
Comprimé,Cp,1,,,CARLYTENE,1
Gélule,Gél,1,,,NAFTILUX,1
Comprimé,Cp,1,,,VASTAREL,1
Ampoule,Amp,1,,,PROSTINE VR,1
Sachet,Sach,1,,,KARDÉGIC,1
Comprimé,Cp,1,,,ASPIRINE PROTECT,1
Comprimé,Cp,1,,,RÉSITUNE,1
Flacon,Fl,1,,,KARDÉGIC injectable,1
Comprimé,Cp,1,,,PLAVIX,1
Comprimé,Cp,1,,,DUOPLAVIN,1
Comprimé,Cp,1,,,TICLID,1
Comprimé,Cp,1,,,EFIENT,1
Comprimé,Cp,1,,,PERSANTINE,1
Comprimé,Cp,1,,,BRILIQUE,1
Flacon,Fl,1,,,KENGREXAL,1
Flacon,Fl,1,,,INTEGRILIN,1
Flacon,Fl,1,,,AGRASTAT,1
Flacon,Fl,1,,,ACTILYSE,1
Flacon,Fl,1,,,METALYSE,1
Flacon,Fl,1,,,ACTOSOLV,1
Ampoule,Amp,1,,,SCLEREMO,1
Ampoule,Amp,1,,,AETOXISCLEROL,1
Ampoule,Amp,1,,,TROMBOVAR,1
Flacon,Fl,1,,,FIBROVEIN,1
Gélule,Gél,1,,,CYCLO 3 FORT,1
Comprimé,Cp,1,,,DAFLON,1
Comprimé,Cp,1,,,DIO,1
Comprimé,Cp,1,,,DIOVENOR,1
Comprimé,Cp,1,,,MEDIVEINE,1
Comprimé,Cp,1,,,VENACLAR,1
Comprimé,Cp,1,,,DIFRAREL,1
Comprimé,Cp,1,,,DOXIUM,1
Comprimé,Cp,1,,,ENDOTELON,1
Comprimé,Cp,1,,,ESBERIVEN FORT,1
Comprimé,Cp,1,,,BICIRKAN,1
Comprimé,Cp,1,,,VELITEN,1
Comprimé,Cp,1,,,ETIOVEN,1
Gélule,Gél,1,,,GINKOR FORT,1
Gélule,Gél,1,,,INTERCYTON,1
Sachet,Sach,1,,,RHÉOFLUX,1
Sachet,Sach,1,,,VEINAMITOL,1
Shampoing,Shamp,1,,,CLOBEX,1
Crème,Crème,1,,,DERMOVAL,1
Crème,Crème,1,,,CLARELUX,1
Pommade,Pom,1,,,DIPROLENE,1
Crème,Crème,1,,,BETNEVAL,1
Crème,Crème,1,,,DIPROSONE,1
Crème,Crème,1,,,EFFICORT,1
Crème,Crème,1,,,EPITOPIC,1
Crème,Crème,1,,,FLIXOVATE,1
Crème,Crème,1,,,NERISONE,1
Crème,Crème,1,,,DESONIDE,1
Crème,Crème,1,,,LOCAPRED,1
Crème,Crème,1,,,LOCATOP,1
Crème,Crème,1,,,LOCOÏD,1
Crème,Crème,1,,,TRIDESONIT,1
Crème,Crème,1,,,CORTAPAISYL,1
Crème,Crème,1,,,NERISONE C,1
Crème,Crème,1,,,PEVISONE,1
Pommade,Pom,1,,,PROTOPIC,1
Pommade,Pom,1,,,TAKROZEM,1
Gel,Gel,1,,,CUTACNYL,1
Gel,Gel,1,,,CURASPOT,1
Gel,Gel,1,,,PANNOGEL,1
Solution,Sol,1,,,ERYFLUID,1
Gel,Gel,1,,,ÉRYTHROGEL,1
Gel,Gel,1,,,ZINDACLINE,1
Gel,Gel,1,,,ZANEA,1
Crème,Crème,1,,,EFFEDERM,1
Gel,Gel,1,,,ERYLIK,1
Crème,Crème,1,,,KÉTREL,1
Crème,Crème,1,,,RETACNYL,1
Gel,Gel,1,,,ROACCUTANE GEL,1
Crème,Crème,1,,,DIFFERINE,1
Gel,Gel,1,,,EPIDUO,1
Crème,Crème,1,,,AKLIEF,1
Crème,Crème,1,,,SKINOREN,1
Gélule,Gél,1,,,EFFIZINC,1
Gélule,Gél,1,,,RUBOZINC,1
Ampoule,Amp,1,,,GRANIONS DE ZINC,1
Gélule,Gél,1,,,ACNETRAIT,1
Gélule,Gél,1,,,CONTRACNÉ,1
Gélule,Gél,1,,,CURACNÉ,1
Gélule,Gél,1,,,PROCUTA,1
Comprimé,Cp,1,,,DIANE 35,1
Comprimé,Cp,1,,,EPAVAR,1
Comprimé,Cp,1,,,MINERVA,1
Crème,Crème,1,,,ROZEX,1
Crème,Crème,1,,,ROZACRÈME,1
Gel,Gel,1,,,ROZAGEL,1
Gel,Gel,1,,,FINACEA,1
Gel,Gel,1,,,MIRVASO,1
Crème,Crème,1,,,SOOLANTRA,1
Gel,Gel,1,,,ZORAC,1
Pommade,Pom,1,,,VASELINE SALICYLÉE,1
Crème,Crème,1,,,COLD-CREAM SALICYLÉ,1
Pommade,Pom,1,,,DIPROSALIC,1
Lotion,Lot,1,,,DIPROSALIC Lotion,1
Gélule,Gél,1,,,SORIATANE,1
Crème,Crème,1,,,DAIVONEX,1
Pommade,Pom,1,,,DAIVOBET,1
Mousse,Mousse,1,,,ENSTILAR,1
Gel,Gel,1,,,XAMIOL,1
Pommade,Pom,1,,,SILKIS,1
Comprimé,Cp,1,,,MÉLADININE,1
Pommade,Pom,1,,,LEUCODININE B,1
Pommade,Pom,1,,,ANY,1
Préparation,Prép,1,,,TRIO-DÉPIGMENTANT,1
Solution,Sol,1,,,ALOPEXY,1
Solution,Sol,1,,,ALOSTIL,1
Solution,Sol,1,,,UNIPEXIL,1
Comprimé,Cp,1,,,PROPECIA,1
Comprimé,Cp,1,,,CYSTINE B6,1
Gélule,Gél,1,,,GÉLUCYSTINE,1
Gel,Gel,1,,,LITHIODERM,1
Solution,Sol,1,,,BÉTADINE,1
Solution,Sol,1,,,ALCOOL IODÉ,1
Solution,Sol,1,,,AMUKINE,1
Solution,Sol,1,,,DAKIN COOPER,1
Solution,Sol,1,,,CYTÉAL,1
Solution,Sol,1,,,HEXOMÉDINE,1
Solution,Sol,1,,,BISEPTINE,1
Solution,Sol,1,,,CHLORAPREP,1
Solution,Sol,1,,,CHLORHEXIDINE,1
Spray,Spray,1,,,DIASEPTYL,1
Solution,Sol,1,,,HIBIDIL,1
Solution,Sol,1,,,HIBITANE,1
Solution,Sol,1,,,HIBISCRUB,1
Solution,Sol,1,,,MERCRYL,1
Solution,Sol,1,,,PLUREXID,1
Solution,Sol,1,,,SEPTÉAL,1
Solution,Sol,1,,,SEPTIVON,1
Solution,Sol,1,,,ALCOOL ÉTHYLIQUE,1
Solution,Sol,1,,,EAU OXYGÉNÉE,1
Sachet,Sach,1,,,PERMANGANATE DE POTASSIUM,1
Solution,Sol,1,,,ÉOSINE,1
Solution,Sol,1,,,SOLUTION DE MILIAN,1
Solution,Sol,1,,,STERLANE,1
Solution,Sol,1,,,STÉRILÈNE,1
Crème,Crème,1,,,CETAVLON,1
Préparation,Prép,1,,,CRÈME DE DALIBOUR,1
Pommade,Pom,1,,,DERMOCUIVRE,1
Solution,Sol,1,,,NITRATE D'ARGENT,1
Solution,Sol,1,,,MERCURESCÉINE,1
Pommade,Pom,1,,,AURÉOMYCINE,1
Pommade,Pom,1,,,BACTROBAN,1
Pommade,Pom,1,,,MUPIDERM,1
Pommade,Pom,1,,,DIACUTIS,1
Crème,Crème,1,,,FLAMMAZINE,1
Crème,Crème,1,,,FLAMMACÉRIUM,1
Crème,Crème,1,,,ZOVIRAX crème,1
Crème,Crème,1,,,ACTIVIR,1
Crème,Crème,1,,,HERPÉSÉDERMYL,1
Crème,Crème,1,,,KENDIX,1
Comprimé,Cp,1,,,SITAVIG,1
Crème,Crème,1,,,ERAZABAN,1
Gel,Gel,1,,,CLAREVA,1
Préparation,Prép,1,,,COLLODION SALICYLÉ,1
Préparation,Prép,1,,,DUOFILM,1
Préparation,Prép,1,,,VERRUFILM,1
Préparation,Prép,1,,,KÉRAFILM,1
Solution,Sol,1,,,VERRUTOP,1
Dispositif transdermique,Disp transd,1,,,TRANSVERCID,1
Solution,Sol,1,,,CONDYLINE,1
Poudre,Poudre,1,,,AMYCOR,1
Poudre,Poudre,1,,,DAKTARIN,1
Crème,Crème,1,,,FAZOL,1
Crème,Crème,1,,,FONX,1
Poudre,Poudre,1,,,FONGAMIL,1
Crème,Crème,1,,,KÉTODERM,1
Crème,Crème,1,,,LOMEXIN,1
Crème,Crème,1,,,MONAZOL,1
Crème,Crème,1,,,MYCOHYDRALIN,1
Poudre,Poudre,1,,,PÉVARYL,1
Crème,Crème,1,,,DERMAZOL,1
Spray,Spray,1,,,FONGILÉINE,1
Crème,Crème,1,,,GYNOPURA,1
Crème,Crème,1,,,MYCOSEDERMYL,1
Crème,Crème,1,,,MYCOAPAISYL,1
Crème,Crème,1,,,TROSYD,1
Pommade,Pom,1,,,AMYCOR ONYCHOSET,1
Solution,Sol,1,,,LOCERYL,1
Solution,Sol,1,,,CURANAIL,1
Solution,Sol,1,,,MYCOSTER,1
Solution,Sol,1,,,MYCONAIL,1
Solution,Sol,1,,,MYCOSKIN,1
Vernis,Vernis,1,,,ONYTEC,1
Shampoing,Shamp,1,,,SEBIPROX,1
Crème,Crème,1,,,LAMISIL,1
Gel,Gel,1,,,LAMISILDERMGEL,1
Solution,Sol,1,,,LAMISILATE,1
Suspension,Susp,1,,,SELSUN,1
Suspension,Susp,1,,,SELSUN BLUE,1
Gel,Gel,1,,,APAISYL,1
Crème,Crème,1,,,SÉDERMYL,1
Crème,Crème,1,,,PHÉNERGAN crème,1
Émulsion,Émuls,1,,,ASCABIOL,1
Crème,Crème,1,,,TOPISCAB,1
Shampoing,Shamp,1,,,NYDA,1
Mousse,Mousse,1,,,POUXIT,1
Plaque,Plaque,1,,,ALGOPLAQUE,1
Plaque,Plaque,1,,,COMFEEL PLUS,1
Plaque,Plaque,1,,,DUODERM,1
Plaque,Plaque,1,,,HYDROCOLL STANDARD,1
Plaque,Plaque,1,,,SUPRASORB H,1
Plaque,Plaque,1,,,TEGADERM HYDROCOLLOID,1
Plaque,Plaque,1,,,ULTEC PRO,1
Mousse,Mousse,1,,,ALLEVYN,1
Mousse,Mousse,1,,,BIATAIN,1
Mousse,Mousse,1,,,COMBIDERM,1
Mousse,Mousse,1,,,CUTINOVA HYDRO,1
Mousse,Mousse,1,,,HYDROPHAR,1
Mousse,Mousse,1,,,HYDROTAC CONFORT,1
Mousse,Mousse,1,,,PERMAFOAM,1
Mousse,Mousse,1,,,SUPRASORB P,1
Mousse,Mousse,1,,,TIELLE,1
Mousse,Mousse,1,,,URGOTUL ABSORB,1
Mousse,Mousse,1,,,VERSIVA XC,1
Pansement,Pans,1,,,URGOSTART,1
Compresse,Compr,1,,,ALGISITE,1
Compresse,Compr,1,,,ALGOSTÉRIL,1
Compresse,Compr,1,,,KALTOSTAT,1
Compresse,Compr,1,,,MELGISORB,1
Compresse,Compr,1,,,SORBALGON,1
Plaque,Plaque,1,,,AQUAFLO,1
Gel,Gel,1,,,CURAFIL,1
Gel,Gel,1,,,DUODERM HYDROGEL,1
Gel,Gel,1,,,HYDROCLEAN,1
Gel,Gel,1,,,INTRASITE,1
Gel,Gel,1,,,NORMLGEL,1
Gel,Gel,1,,,PURILON GEL,1
Gel,Gel,1,,,SUPRASORB GEL,1
Gel,Gel,1,,,TEGADERM HYDROGEL,1
Gel,Gel,1,,,URGO HYDROGEL,1
Compresse,Compr,1,,,AQUACEL,1
Compresse,Compr,1,,,URGOCLEAN,1
Compresse,Compr,1,,,CARBONET,1
Compresse,Compr,1,,,CARBOSORB,1
Compresse,Compr,1,,,ACTISORB,1
Plaque,Plaque,1,,,ADAPTIC,1
Plaque,Plaque,1,,,HYDROTUL,1
Plaque,Plaque,1,,,MÉPITEL,1
Plaque,Plaque,1,,,PHYSIOTULLE,1
Plaque,Plaque,1,,,URGOTUL,1
Plaque,Plaque,1,,,URGOTUL LITE,1
Plaque,Plaque,1,,,URGOTUL Ag,1
Plaque,Plaque,1,,,URGOCLEAN Ag,1
Pansement,Pans,1,,,GRASSOLIND,1
Pansement,Pans,1,,,JELONET,1
Pansement,Pans,1,,,TULLE GRAS,1
Crème,Crème,1,,,IALUSET,1
Plaque,Plaque,1,,,CLIP DERM,1
Plaque,Plaque,1,,,HYDROFILM,1
Plaque,Plaque,1,,,MERIFORM,1
Plaque,Plaque,1,,,OPSITE,1
Plaque,Plaque,1,,,POLYSKIN,1
Plaque,Plaque,1,,,TÉGADERM,1
Applicateur,Applic,1,,,DERMABOND,1
Applicateur,Applic,1,,,INDERMIL,1
Crème,Crème,1,,,BEPANTHEN,1
Crème,Crème,1,,,ÉRYTHÉDERMYL,1
Crème,Crème,1,,,DEXTOPIA,1
Gélule,Gél,1,,,TOCTINO,1
Gélule,Gél,1,,,ALIZEM,1
Solution,Sol,1,,,HÉMANGIOL,1
Crème,Crème,1,,,ALDARA,1
Gel,Gel,1,,,SOLARAZE,1
Crème,Crème,1,,,EFUDIX,1
Crème,Crème,1,,,TOLAK,1
Crème,Crème,1,,,METVIXIA,1
Crème,Crème,1,,,VANIOA,1
Flacon,Fl,1,,,ACTRAPID,1
Flacon,Fl,1,,,UMULINE Rapide,1
Flacon,Fl,1,,,APIDRA,1
Flacon,Fl,1,,,HUMALOG,1
Stylo,Stylo,1,,,LYUMJEV,1
Flacon,Fl,1,,,NOVORAPID,1
Stylo,Stylo,1,,,FIASP,1
Flacon,Fl,1,,,INSUMAN,1
Flacon,Fl,1,,,INSULATARD,1
Flacon,Fl,1,,,UMULINE NPH,1
Stylo,Stylo,1,,,HUMALOG MIX,1
Stylo,Stylo,1,,,NOVOMIX,1
Flacon,Fl,1,,,MIXTARD,1
Stylo,Stylo,1,,,UMULINE PROFIL,1
Flacon,Fl,1,,,LANTUS,1
Stylo,Stylo,1,,,ABASAGLAR,1
Stylo,Stylo,1,,,TOUJEO,1
Stylo,Stylo,1,,,LEVEMIR,1
Stylo,Stylo,1,,,TRESIBA,1
Comprimé,Cp,1,,,GLUCOPHAGE,1
Comprimé,Cp,1,,,STAGID,1
Comprimé,Cp,1,,,GLUCOVANCE,1
Comprimé,Cp,1,,,GLUCOR,1
