nom,symbole,facteur,prix_achat,prix_vente,medicament_id,is_default
Tube,Tube,1,,,XYLOCAÏNE VISQUEUSE,1
Crème,Crème,1,,,DYNEXAN 2%,1
Crème,Crème,1,,,EMLA 5%,1
Crème,Crème,1,,,ANESDERM 5%,1
Pansement,Pans,1,,,EMLAPATCH,1
Emplâtre,Emplâtre,1,,,VERSATIS,1
Patch,Patch,1,,,QUTENZA,1
Flacon,Fl,1,,,PÉNICILLINE G,1
Comprimé,Cp,1,,,ORACILLINE,1
Flacon,Fl,1,,,EXTENCILLINE,1
Gélule,Gél,1,,,ORBÉNINE,1
Flacon,Fl,1,,,ISTOPEN,1
Gélule,Gél,1,,,AMODEX,1
Comprimé,Cp,1,,,CLAMOXYL,1
Comprimé,Cp,1,,,AUGMENTIN,1
Flacon,Fl,1,,,AUGMENTIN injectable,1
Flacon,Fl,1,,,UNACIM,1
Flacon,Fl,1,,,TICARPEN,1
Flacon,Fl,1,,,NEGABAN,1
Flacon,Fl,1,,,TIMENTIN,1
Flacon,Fl,1,,,TAZOCILLINE,1
Gélule/Comprimé,Gél/Cp,1,,,CÉFADROXIL,1
Comprimé,Cp,1,,,KEFORAL,1
Gélule,Gél,1,,,ALFATIL,1
Flacon,Fl,1,,,CÉFAZOLINE,1
Comprimé,Cp,1,,,ZINNAT,1
Flacon,Fl,1,,,CEFAMANDOLE,1
Flacon,Fl,1,,,CEFOXITINE,1
Flacon,Fl,1,,,CEFOTAXIME,1
Flacon,Fl,1,,,ROCEPHINE,1
Flacon,Fl,1,,,TRIACEFAN,1
Flacon,Fl,1,,,ZERBAXA,1
Flacon,Fl,1,,,FORTUM,1
Flacon,Fl,1,,,ZAVICEFTA,1
Comprimé,Cp,1,,,OROKEN,1
Comprimé,Cp,1,,,ORELOX,1
Flacon,Fl,1,,,AXEPIM,1
Flacon,Fl,1,,,MABELIO,1
Flacon,Fl,1,,,ZINFORO,1
Flacon,Fl,1,,,INVANZ,1
Flacon,Fl,1,,,TIENAM,1
Flacon,Fl,1,,,RECARBRIO,1
Flacon,Fl,1,,,MERONEM,1
Flacon,Fl,1,,,VABOREM,1
Flacon,Fl,1,,,AZACTAM,1
Flacon,Fl,1,,,CAYSTON,1
Ampoule,Amp,1,,,GENTAMICINE,1
Flacon,Fl,1,,,NEBCINE,1
Flacon,Fl,1,,,AMIKACINE,1
Ampoule,Amp,1,,,TOBI,1
Poudre,Poudre,1,,,TOBI PODHALER,1
Comprimé,Cp,1,,,ERY,1
Gélule,Gél,1,,,EGERY,1
Flacon,Fl,1,,,ÉRYTHROMYCINE injectable,1
Comprimé,Cp,1,,,RULID,1
Comprimé,Cp,1,,,ZECLAR,1
Flacon,Fl,1,,,ZECLAR IV,1
Comprimé/Gélule,Cp/Gél,1,,,ZITHROMAX,1
Comprimé,Cp,1,,,AZADOSE,1
Comprimé orodispersible,Cp orodisp,1,,,ORDIPHA,1
